Name,TeamName,RiderClass,SuggestedClass
Niklas Larsen,Unibet Rose Rockets,Unclassed,UC
Tomas Kopecky,Unibet Rose Rockets,Unclassed,SP
Elmar Reinders,Unibet Rose Rockets,Rouleur,SP
Dylan Groenewegen,Unibet Rose Rockets,Sprinter,SP
Wout Poels,Unibet Rose Rockets,GC Rider,CL
Lukas Kubis,Unibet Rose Rockets,Unclassed,UC
Hartthijs de Vries,Unibet Rose Rockets,Unclassed,UC
Erlend Blikra,Uno-X Mobility,Unclassed,UC
Adne Holter,Uno-X Mobility,Unclassed,UC
Johannes Kulset,Uno-X Mobility,Rouleur,UC
Martin Tjotta,Uno-X Mobility,Unclassed,UC
Sakarias Koller Loland,Uno-X Mobility,Unclassed,UC
Fredrik Dversnes,Uno-X Mobility,Rouleur,UC
Markus Hoelgaard,Uno-X Mobility,Rouleur,UC
Andreas Leknessund,Uno-X Mobility,Rouleur,AR
Christopher Juul-Jensen,Team Jayco-AlUla,Rouleur,UC
Alan Hatherly,Team Jayco-AlUla,GC Rider,UC
Andrea Vendrame,Team Jayco-AlUla,Climber,UC
Ben O'Connor,Team Jayco-AlUla,GC Rider,AR
Felix Engelhardt,Team Jayco-AlUla,Climber,CL
Koen Bouwman,Team Jayco-AlUla,Rouleur,CL
Pascal Ackermann,Team Jayco-AlUla,Sprinter,SP
Robert Donaldson,Team Jayco-AlUla,Unclassed,UC
Jensen Plowright,Alpecin-Premier Tech,Unclassed,UC
Johan Price-Pejtersen,Alpecin-Premier Tech,Rouleur,UC
Kaden Groves,Alpecin-Premier Tech,Sprinter,SP
Edward Planckaert,Alpecin-Premier Tech,Rouleur,SP
Jonas Geens,Alpecin-Premier Tech,Unclassed,UC
Tobias Bayer,Alpecin-Premier Tech,Rouleur,UC
Luca Vergallito,Alpecin-Premier Tech,Rouleur,UC
Francesco Busatto,Alpecin-Premier Tech,Unclassed,UC
Tim Torn Teutenberg,Lidl-Trek,Unclassed,UC
Derek Gee-West,Lidl-Trek,Rouleur,UC
Matteo Sobrero,Lidl-Trek,Time Trialist,UC
Jonathan Milan,Lidl-Trek,Sprinter,SP
Simone Consonni,Lidl-Trek,Sprinter,SP
Amanuel Ghebreigzabhier,Lidl-Trek,Rouleur,CL
Giulio Ciccone,Lidl-Trek,GC Rider,AR
Max Walscheid,Lidl-Trek,Time Trialist,SP
Marc Soler,UAE Team Emirates-XRG,Climber,CL
Igor Arrieta,UAE Team Emirates-XRG,Unclassed,CL
Jan Christen,UAE Team Emirates-XRG,Unclassed,CL
Adam Yates,UAE Team Emirates-XRG,GC Rider,AR
Jhonatan Narvaez,UAE Team Emirates-XRG,Rouleur,UC
Antonio Morgado,UAE Team Emirates-XRG,Unclassed,UC
Jay Vine,UAE Team Emirates-XRG,Rouleur,CL
Mikkel Bjerg,UAE Team Emirates-XRG,Time Trialist,UC
Matteo Malucelli,XDS Astana Team,Unclassed,UC
Thomas Silva,XDS Astana Team,Rouleur,UC
Alberto Bettiol,XDS Astana Team,GC Rider,UC
Davide Ballerini,XDS Astana Team,Sprinter,SP
Arjen Livyns,XDS Astana Team,Rouleur,UC
Diego Ulissi,XDS Astana Team,Climber,UC
Martin Lopez,XDS Astana Team,Rouleur,CL
Christian Scaroni,XDS Astana Team,Rouleur,UC
Luca Paletti,Bardiani-CSF 7 Saber,Unclassed,UC
Filippo Turconi,Bardiani-CSF 7 Saber,Unclassed,UC
Martin Marcellusi,Bardiani-CSF 7 Saber,Rouleur,UC
Manuele Tarozzi,Bardiani-CSF 7 Saber,Rouleur,UC
Enrico Zanoncello,Bardiani-CSF 7 Saber,Rouleur,UC
Nikita Tsvetkov,Bardiani-CSF 7 Saber,Unclassed,UC
Vicente Rojas,Bardiani-CSF 7 Saber,Unclassed,CL
Filippo Magli,Bardiani-CSF 7 Saber,Unclassed,UC
Paul Penhoet,Groupama-FDJ United,Rouleur,UC
Remy Rochas,Groupama-FDJ United,Rouleur,CL
Josh Kench,Groupama-FDJ United,Unclassed,UC
Brieuc Rolland,Groupama-FDJ United,Rouleur,UC
Johan Jacobs,Groupama-FDJ United,Unclassed,UC
Axel Huens,Groupama-FDJ United,Unclassed,UC
Remi Cavagna,Groupama-FDJ United,Time Trialist,UC
Cyril Barthe,Groupama-FDJ United,Rouleur,UC
Thomas Pesenti,Team Polti VisitMalta,Unclassed,UC
Ludovico Crescioli,Team Polti VisitMalta,Unclassed,UC
Diego Sevilla,Team Polti VisitMalta,Unclassed,UC
Mirco Maestri,Team Polti VisitMalta,Rouleur,UC
Andrea Mifsud,Team Polti VisitMalta,Unclassed,UC
Alessandro Tonelli,Team Polti VisitMalta,Rouleur,UC
Mattia Bais,Team Polti VisitMalta,Rouleur,UC
Giovanni Lonardi,Team Polti VisitMalta,Rouleur,SP
Dion Smith,NSN Cycling Team,Sprinter,UC
Nick Schultz,NSN Cycling Team,Climber,CL
Alessandro Pinarello,NSN Cycling Team,Unclassed,UC
Jan Hirt,NSN Cycling Team,Climber,CL
Ethan Vernon,NSN Cycling Team,Rouleur,SP
Ryan Mullen,NSN Cycling Team,Rouleur,UC
Jake Stewart,NSN Cycling Team,Rouleur,SP
Corbin Strong,NSN Cycling Team,Sprinter,SP
William Barta,Tudor Pro Cycling Team,Unclassed,UC
Luca Mozzato,Tudor Pro Cycling Team,Sprinter,SP
Florian Stork,Tudor Pro Cycling Team,Rouleur,UC
Fabian Lienhard,Tudor Pro Cycling Team,Rouleur,UC
Robin Froidevaux,Tudor Pro Cycling Team,Rouleur,UC
Michael Storer,Tudor Pro Cycling Team,Rouleur,CL
Lawrence Warbasse,Tudor Pro Cycling Team,Climber,CL
Mathys Rondel,Tudor Pro Cycling Team,Unclassed,UC
Egan Bernal,Netcompany INEOS Cycling Team,GC Rider,AR
Magnus Sheffield,Netcompany INEOS Cycling Team,Rouleur,UC
Thymen Arensman,Netcompany INEOS Cycling Team,GC Rider,AR
Filippo Ganna,Netcompany INEOS Cycling Team,Time Trialist,AR
Ivan Garcia Cortina,Movistar Team,Rouleur,UC
Javier Romo,Movistar Team,Climber,CL
Einer Rubio,Movistar Team,Climber,CL
Juan Pedro Lopez,Movistar Team,Rouleur,AR
Edoardo Zambanini,Bahrain Victorious,Rouleur,UC
Santiago Buitrago,Bahrain Victorious,Rouleur,CL
Damiano Caruso,Bahrain Victorious,Climber,AR
Alec Segaert,Bahrain Victorious,Rouleur,UC
Milan Menten,Lotto-Intermarche,Rouleur,UC
Arnaud De Lie,Lotto-Intermarche,Rouleur,SP
Filippo Zana,Soudal Quick-Step,Rouleur,AR
Gianmarco Garofoli,Soudal Quick-Step,Rouleur,CL
Paul Magnier,Soudal Quick-Step,Unclassed,SP
Dries van Gestel,Soudal Quick-Step,Rouleur,UC
Jasper Stuyven,Soudal Quick-Step,Rouleur,UC
Felix Gall,Decathlon CMA CGM Team,Rouleur,AR
Oliver Naesen,Decathlon CMA CGM Team,Sprinter,UC
Johannes Staune-Mittet,Decathlon CMA CGM Team,Rouleur,AR
Rasmus Sojberg Pedersen,Decathlon CMA CGM Team,Unclassed,UC
Tord Gudmestad,Decathlon CMA CGM Team,Unclassed,UC
Tobias Lund Andresen,Decathlon CMA CGM Team,Rouleur,UC
Bart Lemmen,Team Visma | Lease a Bike,Rouleur,UC
Jonas Vingegaard,Team Visma | Lease a Bike,GC Rider,AR
Victor Campenaerts,Team Visma | Lease a Bike,Time Trialist,UC
Sepp Kuss,Team Visma | Lease a Bike,Climber,CL
Davide Piganzoli,Team Visma | Lease a Bike,Rouleur,UC
Mark Donovan,Pinarello-Q36.5 Pro Cycling Team,Rouleur,UC
David de la Cruz,Pinarello-Q36.5 Pro Cycling Team,Climber,UC
Chris Harper,Pinarello-Q36.5 Pro Cycling Team,Rouleur,UC
Matteo Moschetti,Pinarello-Q36.5 Pro Cycling Team,Sprinter,SP
Fabio Christen,Pinarello-Q36.5 Pro Cycling Team,Rouleur,UC
Casper van Uden,Team Picnic PostNL,Rouleur,SP
Frank van den Broek,Team Picnic PostNL,Rouleur,SP
Timo de Jong,Team Picnic PostNL,Unclassed,UC
Giulio Pellizzari,Red Bull-BORA-hansgrohe,Rouleur,AR
Jai Hindley,Red Bull-BORA-hansgrohe,GC Rider,AR
Giovanni Aleotti,Red Bull-BORA-hansgrohe,Rouleur,CL
Aleksandr Vlasov,Red Bull-BORA-hansgrohe,Climber,CL
Michael Valgren,EF Education-EasyPost,Rouleur,UC
James Shaw,EF Education-EasyPost,Rouleur,UC
Fabio Van den Bossche,Soudal Quick-Step,Rouleur,UC
Ayco Bastiaens,Soudal Quick-Step,Rouleur,UC
Andrea Raccagni Noviero,Soudal Quick-Step,Unclassed,UC
Nico Denz,Red Bull-BORA-hansgrohe,Rouleur,UC
Mick van Dijke,Red Bull-BORA-hansgrohe,Unclassed,UC
Gianni Moscon,Red Bull-BORA-hansgrohe,Rouleur,UC
Ben Zwiehoff,Red Bull-BORA-hansgrohe,Rouleur,UC
Robert Stannard,Bahrain Victorious,Rouleur,UC
Afonso Eulalio,Bahrain Victorious,Unclassed,UC
Fran Miholjevic,Bahrain Victorious,Rouleur,UC
Mathijs Paasschens,Bahrain Victorious,Rouleur,UC
Wilco Kelderman,Team Visma | Lease a Bike,GC Rider,AR
Tim Rex,Team Visma | Lease a Bike,Unclassed,UC
Timo Kielich,Team Visma | Lease a Bike,Rouleur,UC
Orluis Aular,Movistar Team,Climber,CL
Enric Mas,Movistar Team,Climber,AR
Nelson Oliveira,Movistar Team,Time Trialist,UC
Lorenzo Milesi,Movistar Team,Rouleur,CL
Callum Scotson,Decathlon CMA CGM Team,Time Trialist,UC
Gregor Muhlberger,Decathlon CMA CGM Team,Climber,CL
Matyas Kopecky,Unibet Rose Rockets,Unclassed,UC
Markel Beloki,EF Education-EasyPost,Rouleur,UC
Samuele Battistella,EF Education-EasyPost,Rouleur,UC
Jardi Van Der Lee,EF Education-EasyPost,Rouleur,UC
Darren Rafferty,EF Education-EasyPost,Rouleur,UC
Vincenzo Albanese,EF Education-EasyPost,Sprinter,SP
Madis Mihkels,EF Education-EasyPost,Rouleur,SP
Connor Swift,Netcompany INEOS Cycling Team,Rouleur,SP
Embret Svestad-Bardseng,Netcompany INEOS Cycling Team,Unclassed,UC
Jack Haig,Netcompany INEOS Cycling Team,GC Rider,AR
Ben Turner,Netcompany INEOS Cycling Team,Rouleur,UC
Simone Gualdi,Lotto-Intermarche,Unclassed,UC
Lennert Van Eetvelt,Lotto-Intermarche,Climber,AR
Toon Aerts,Lotto-Intermarche,Unclassed,UC
Jonas Rutsch,Lotto-Intermarche,Unclassed,UC
Lorenzo Rota,Lotto-Intermarche,Rouleur,CL
Sjoerd Bax,Pinarello-Q36.5 Pro Cycling Team,Unclassed,UC
Nickolas Zukowsky,Pinarello-Q36.5 Pro Cycling Team,Rouleur,UC
David Gonzalez,Pinarello-Q36.5 Pro Cycling Team,Rouleur,CL
Chris Hamilton,Team Picnic PostNL,Climber,CL
Sean Flynn,Team Picnic PostNL,Rouleur,UC
Warren Barguil,Team Picnic PostNL,GC Rider,CL
Tim Naberman,Team Picnic PostNL,Rouleur,UC
Gijs Leemreize,Team Picnic PostNL,Rouleur,CL
Joshua Giddings,Lotto-Intermarche,Unclassed,UC
